FID,FID_Alabam,MatchType,NumMatch,PrecinctNu,Precinct,Address,City,Zip,County,State,FLD_ZONE,ZONE_SUBTY,x,y
1,499,KnownAlternateName,Exact,180,Mars Hill - West Chilton Fire Station,2678 Co Rd 42,Jemison,35085,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.773478782923,32.968285378885
2,498,ExactMatch,Exact,170,Providence Baptist Chruch #1,190 Co Rd 46,Montevallo,35115,Chilton,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8010337833807,33.019165328674
3,306,KnownAlternateName,Exact,PRECINCT 34,Roy Downs Memorial Calera Library,9700 Hwy 25,Calera,35040,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7692078885092,33.0970402464048
4,303,ExactMatch,Rooftop,PRECINCT 30,Stewart Student Retreat Center,508 Student Retreat Dr,Montevallo,35115,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8703204277798,33.1105332454639
5,307,ExactMatch,Rooftop,PRECINCT 35,Hope Mountain Church,11215 Hwy 22,Calera,35040,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7563296179209,33.1544594990691
6,296,ExactMatch,Exact,PRECINCT 23,Church of Jesus Christ of Latter Day Saints,210 Lacey Ave,Maylene,35114,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8654509124377,33.223506229568
7,297,ExactMatch,Rooftop,PRECINCT 24,Restore - 1st UMC of Alabaster,128 Market Center Dr,Alabaster,35007,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8219348008995,33.2375550641882
8,299,ExactMatch,Rooftop,PRECINCT 26,Evangel Presbyterian Church,423 Thompson Rd,Alabaster,35007,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8379336454555,33.2382302637247
9,247,ExactMatch,Exact,21, NORTHPORT CITY HALL,3500 MCFARLAND BLVD, NORTHPORT,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5925464680126,33.2400179253041
10,242,ExactMatch,Rooftop,15, MARY PHELPS CENTER,2200 ROCK QUARRY DR, TUSCALOOSA,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.509991946186,33.2647843536761
11,243,DirectionSuffixRemoved,Exact,17, CHAPEL HILL BAPTIST CHURCH, 8790 HIGHWAY 43 NORTH, NORTHPORT,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5990050916591,33.2736747021185
12,238,ExactMatch,Rooftop,9, YELLOW CREEK BAPTIST CHURCH,15515 YELLOW CREEK ROAD,Tuscaloosa,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4726002706679,33.3560853342747
13,237,ExactMatch,Approx,8, STATION 2 CARROLL�S CREEK VFD � 11604 STONEHEDGE ROAD,11604 STONEHEDGE ROAD,Northport,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5746050895465,33.3602062311983
14,239,ExactMatch,Exact,10, KELLERMAN ANTIOCH BAPTIST CHURCH,15755 LOCK 17 ROAD,Brookwood,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3282590405708,33.365087881727
15,236,ExactMatch,Approx,7, COUNTY ROAD CAMP #3, 17504 FINNELL ROAD,Northport,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5952050979272,33.4074062402815
16,115,ExactMatch,Approx, ,PREC 3220 � OAK GROVE FIRST BAPTIST CHURCH,9161 CAMP OLIVER RD,BESSEMER,35023,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2003049900664,33.4659062678201
17,232,DirectionSuffixRemoved,Exact,2, WINDHAM SPRING BAPTIST CHURCH,20105 HWY 69 NORTH,Berry,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.497827835092,33.4892219111741
18,231,ExactMatch,Exact,1, WHITSON PLACE CHURCH OF CHRIST,13231 BRANDON SCHOOL ROAD,Berry,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4126464758121,33.5734648620967
19,1046,ExactMatch,Exact,10,10 - TUTWILER FIRE DEPARTMENT,6320 TUTWILER RD,OAKMAN,35579,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2868333117791,33.5984704322257
20,1055,ExactMatch,Exact,20,20 - LIBERTY HILL CHURCH,10870 LIBERTY HILL RD,OAKMAN,35579,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3645461658605,33.6378062974099
21,732,ExactMatch,Exact,10,Boley Springs Church,3828 Co Rd 83,berry,35546,Fayette,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5081322870938,33.6525830248686
22,1054,KnownAlternateName,Exact,19,19 - COPELAND FERRY CHURCH OF GOD,16255 HIGHWAY 269, QUINTON,35130,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.1664828712756,33.6599728697734
23,727,ExactMatch,Approx,1,Berry Civic Center,School Ave,Berry,35546,Fayette,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.6009051137877,33.6635062935
24,1047,ExactMatch,Approx,11,11 - UNION HALL/GOODSPRINGS,119 GOODSPRINGS RD,PARRISH,35580,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2428050136052,33.6744063098095
25,1072,ExactMatch,Approx,41,41 - PLEASANTFIELD COMMUNITY CENTER,4880 PLEASANTFIELD RD,PARRISH,35580,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2985050293158,33.6746063076734
26,1045,ExactMatch,Exact,9,09 - OAKMAN COMMUNITY CENTER,7210 NEW OAKMAN HWY,OAKMAN,35579,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3698272018879,33.7188063140956
27,730,ExactMatch,Approx,8,Gorges Creek/Pea Ridge Community Church,Pea Ridge Road,Berry,35546,Fayette,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.5811051119821,33.7302063081537
28,1048,ExactMatch,Exact,12,12 - CORDOVA VFW BUILDING,65 3RD AVE, CORDOVA,35550,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.1831497616713,33.7616615703551
29,1050,ExactMatch,Approx,14,14 - UNION CHAPEL COMMUNITY CENTER,6670 OLD BIRMINGHAM HWY,JASPER,35504,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.237505020657,33.8264063417105
30,1041,KnownAlternateName,Exact,4,04 - MEADOW SMITH LIBRARY/FRISCO,419 CRUTCHFIELD BLVD,JASPER,35501,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.269289029639,33.8267063405207
31,1043,ExactMatch,Exact,6,06 - TOWNLEY COMMUNITY CENTER,62 TOWNLEY SCHOOL RD,TOWNLEY,35587,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.4268117441455,33.8287063347186
32,1044,ExactMatch,Exact,7,07 - MEMORIAL PARK NATATORIUM,610 10TH AVE,JASPER,35501,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2866050355993,33.8457236937946
33,1062,ExactMatch,Exact,29,29 - TOWNLEY VOL FIRE DEPT STATION #2,6848 HOLLY GROVE RD,JASPER,35501,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.3709615894208,33.8464693306177
34,1038,DirectionSuffixRemoved,Exact,1,01 - JASPER MALL,300 HWY 78 E,JASPER,35501,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.2792050337042,33.8491063447902
35,1061,ExactMatch,Exact,28,28 - BOLDO COMMUNITY BUILDING,719 DOWDEY RD, JASPER,35504,Walker,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.1952050104806,33.8574915998483
36,240,ExactMatch,Exact,11, TANNEHILL VALLEY BAPTIST CHURCH,12858 TANNEHILL PARKWAY,McCalla,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0832049464763,33.2717501314788
37,241,ExactMatch,Approx,12, LAKEVIEW BAPTIST CHURCH,21168 MOUNTAIN VIEW CIRCLE,Lake View,0,Tuscaloosa,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.1386049624777,33.278906230873
38,106,ExactMatch,Exact, ,PREC 3020 � OASIS OF PRAISE CHURCH,6922 POCAHONTAS RD,BESSEMER,35022,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9829596799358,33.3038228920654
39,95,ExactMatch,Exact, ,PREC 2215 � GRANT STREET BAPTIST CHURCH,724 GRANT ST,BESSEMER,35020,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9800169720225,33.3576534835259
40,119,ExactMatch,Exact, ,PREC 3300 � JOHNS COMMUNITY CENTER,7800 CHURCH ST,ADGER,35006,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.1032049573268,33.3678062509462
41,28,ExactMatch,Exact, ,PREC 2245/3060 � BESSEMER CIVIC CENTER,1130 9TH AVE SW,BIRMINGHAM,35022,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9952334469542,33.3693777354136
42,26,ExactMatch,Exact, ,PREC 2210 � JONESBORO ELEMENTARY SCHOOL,125 OWEN AVE,BESSEMER,35020,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9588049171181,33.3775981485393
43,117,WeakName,Exact, ,PREC 3270 � MUSCODA COMMUNITY CENTER,400 ASBURY HOWARD S,BESSEMER,35020,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.938804911553,33.3791062596222
44,100,ExactMatch,Exact, ,PREC 2340 � THOMPSON MANOR COMMUNITY CENTER,1520 EXETER CT,BIRMINGHAM,35020,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9468015345568,33.392819552205
45,96,ExactMatch,Exact, ,PREC 2240 � FIRE DEPARTMENT ADMINISTRATIVE BLDG,1101 2ND AVE N,BESSEMER,35020,Jefferson,Alabama,AE, ,-86.9596049181821,33.393006261754
46,101,ExactMatch,Exact, ,PREC 2360 � BESSEMER RECREATION CENTER,100 14TH STREET S,BESSEMER,35020,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9541049167326,33.3949062623648
47,116,KnownAlternateName,Exact, ,PREC 3250 � BESSEMER FIRE STATION #5,1715 LONG 12TH ST,BESSEMER,35020,Jefferson,Alabama,AE, ,-86.977136363815,33.4055525237239
48,21,ExactMatch,Exact, ,PREC 2110 � SOUTHSIDE HOMES COMMUNITY CENTER,2501 CLARENDON AVE,BESSEMER,35020,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9407049135695,33.4063062652788
49,92,ExactMatch,Exact, ,PREC 2120 � DUNBAR-ABRAMS COMMUNITY CENTER,2715 6TH AVE N,BESSEMER,35020,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9495215564422,33.4133367664212
50,44,ExactMatch,Approx, ,PREC 3140 � VALLEY CREEK BAPTIST CHURCH,3253 VIRGINIA DR,BESSEMER,35023,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0471049443018,33.4191062638906
51,110,ExactMatch,Approx, ,PREC 3090 � BROOKLANE COMMUNITY CENTER,2500 BROOKLANE DR,BESSEMER,35023,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9790049257038,33.4305062689037
52,23,ExactMatch,Exact, ,PREC 2150 � BRIGHTON COMMUNITY CENTER,3810 7TH AVENUE,BESSEMER,35020,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9510824684091,33.441306272248
53,17,ExactMatch,Approx, ,PREC 1365 � DOLOMITE W FIELD CITY COMMUNITY CTR,1069 TIN MILL RD,DOLOMITE,35061,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9529049204877,33.4699062781938
54,113,ExactMatch,Exact, ,PREC 3150 � UNION HILL BAPTIST CHURCH,7049 TAYLORS FERRY RD,BESSEMER,35023,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0791029268035,33.4825231859853
55,39,ExactMatch,Approx, ,PREC 3035 � BETHEL BAPTIST CHURCH PLEASANT GROVE,635 9TH WAY,PLEASANT GROVE,35127,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9745049275029,33.4866062808735
56,40,ExactMatch,Approx, ,PREC 3050 � PLEASANT RIDGE BAPTIST CHURCH,635 9TH WAY,PLEASANT GROVE,35127,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9745049275029,33.4866062808735
57,107,ExactMatch,Exact, ,PREC 3030 � PLEASANT GROVE FIRST BAPTIST CHURCH,724 4TH ST,PLEASANT GROVE,35127,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9744518682341,33.5002062837335
58,47,ExactMatch,Exact, ,PREC 3240 � SYLVAN SPRINGS FIRST UNITED Methodist Church,5524 BIRMINGPORT RD,MULGA,35118,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0249732130692,33.5105835239651
59,120,ExactMatch,Exact, ,PREC 3320 � MAYTOWN BAPTIST CHURCH,4679 BIRMINGPORT RD,MULGA,35118,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9988073368261,33.5313882093429
60,85,ExactMatch,Exact, ,PREC 1285 � MINOR FIRE STATION,1135 BROAD ST,BIRMINGHAM,35224,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9384715904368,33.5432618541649
61,50,ExactMatch,Approx, ,PREC 3330 � FIRST BAPT CHURCH BOOKER HEIGHTS,5017 OAK STREET,MULGA,35118,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.0048049392257,33.5442062918017
62,45,ExactMatch,Exact, ,PREC 3170 � ALLIANCE COMMUNITY CENTER,1220 ALLIANCE RD,BESSEMER,35023,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-87.126717863779,33.5468418276381
63,48,ExactMatch,Approx, ,PREC 3290 � MULGA TOWN HALL,505 MULGA LOOP RD,MULGA,35118,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9790049321763,33.548506293701
64,298,ExactMatch,Exact,PRECINCT 25,Westwood Baptist Church,1155 Alabaster Blvd,Alabaster,35007,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7927882728352,33.2407506259682
65,295,ExactMatch,Rooftop,PRECINCT 21,Helena Community Center,110 Sports Complex Dr,Helena,35080,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8472491415193,33.3020234568538
66,294,ExactMatch,Approx,PRECINCT 20,Pelham Civic Complex,500 Amphitheater Rd,Pelham,35124,Shelby,Alabama,X,0.2 PCT ANNUAL CHANCE FLOOD HAZARD,-86.7921048673264,33.3278062543971
67,293,ExactMatch,Exact,PRECINCT 19,Riverchase Church of Christ,1868 Montgomery Hwy,Birmingham,35244,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.795204869368,33.3493715788328
68,38,ExactMatch,Approx, ,PREC 3015 � HOOVER MET SPORTS COMPLEX,5508 STADIUM TRACE PKWY,HOOVER,35244,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8459048837323,33.3500062570346
69,105,ExactMatch,Approx, ,PREC 3010 � HOOVER MET BASEBALL STADIUM BANQUET ROOM,5508 STADIUM TRACE PKWY,HOOVER,35244,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8459048837323,33.3500062570346
70,304,ExactMatch,Exact,PRECINCT 32,Riverchase Baptist Church,2020 Crossvine Rd,Birmingham,35244,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8023048717796,33.3568479901405
71,108,ExactMatch,Exact, ,PREC 3040 � PRINCE OF PEACE CATHOLIC CHURCH,4600 PRESERVE PKWY,BIRMINGHAM,35226,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8483048850712,33.362206259517
72,292,ExactMatch,Exact,PRECINCT 18,Valleydale Baptist Church,2324 Valleydale Rd,Birmingham,35244,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7630245511579,33.3658037335278
73,49,KnownAlternateName,Exact, ,PREC 3310 � PARKWOOD CHURCH OF GOD,1975 HWY 150,BESSEMER,35022,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9133654840411,33.3730752493241
74,302,ExactMatch,Exact,PRECINCT 29,Faith Presbyterian Church,4601 Valleydale Rd, Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.734437734058,33.3840089884605
75,133,ExactMatch,Exact, ,PREC 5010 � HOOVER PARK & RECREATION CENTER,600 MUNICIPAL DR,BIRMINGHAM,35226,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.805555324372,33.3877314865329
76,142,ExactMatch,Exact, ,PREC 5230 � HOOVER PUBLIC LIBRARY,200 MUNICIPAL DR,BIRMINGHAM,35216,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8063890046203,33.3879630965499
77,111,ExactMatch,Exact, ,PREC 3110 � OAKMONT CHAPEL PRESBYTERIAN CHURCH,1817 PATTON CHAPEL RD,BIRMINGHAM,35226,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8125498864317,33.3892490865859
78,135,ExactMatch,Exact, ,PREC 5060 � SAINT PETER THE APOSTLE CATHOLIC CHURCH,2061 PATTON CHAPEL RD,BIRMINGHAM,35216,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8002848732386,33.3943062681209
79,305,ExactMatch,Rooftop,PRECINCT 33,Christ Church United Methodist,5091 Caldwell Mill Rd,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7364245351884,33.3944993705988
80,33,ExactMatch,Approx, ,PREC 2365/3160 � ROSS BRIDGE WELCOME CENTER,"2101 GRAND AVE, STE.",BIRMINGHAM,35226,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8828048965834,33.3947062650516
81,291,ExactMatch,Rooftop,PRECINCT 17,First Christian Church,4954 Valleydale Rd,Birmingham,35242,Shelby,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.716221889811,33.4007402226866
82,112,ExactMatch,Exact, ,PREC 3130 � SHADES CREST BAPTIST CHURCH,452 PARK AVE,BIRMINGHAM,35226,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8561673894256,33.4014979375017
83,141,KnownAlternateName,Exact, ,PREC 5200 � MOUNTAINTOP COMMUNITY CHURCH ADDERHOLD STUDENT,225 CENTERVIEW DR,BIRMINGHAM,35216,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7974558235426,33.4146307925149
84,134,ExactMatch,Exact, ,PREC 5030 � SHADES MOUNTAIN COMMUNITY CHURCH,2325 TYLER RD,BIRMINGHAM,35226,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8076082264936,33.4161096224385
85,137,ExactMatch,Exact, ,PREC 5100 � BLUFF PARK UNITED METHODIST CHURCH,733 VALLEY ST,BIRMINGHAM,35226,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8488451782228,33.4174309111396
86,93,ExactMatch,Exact, ,PREC 2140 � NEW BEGINNING CHURCH OF THE LIVING GOD,5117 5TH ST N,BESSEMER,35020,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9328106124118,33.4259731097221
87,62,ExactMatch,Exact, ,PREC 5035 � FULLNESS CHRISTIAN FELLOWSHIP CHURCH,2575 COLUMBIANA RD,BIRMINGHAM,35216,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8095065176129,33.4268210546236
88,68,ExactMatch,Exact, ,PREC 5160 � SAINT THOMAS EPISCOPAL CHURCH,2870 ACTON RD,BIRMINGHAM,35243,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7402707681987,33.429908547922
89,70,KnownAlternateName,Exact, ,PREC 5220 � VESTAVIA CITY HALL,1032 MONTGOMERY HW,BIRMINGHAM,35216,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7891590425109,33.4387950179258
90,138,ExactMatch,Exact, ,PREC 5120 � SHADES MOUNTAIN BAPTIST CHURCH,2017 COLUMBIANA RD,BIRMINGHAM,35216,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8084048779954,33.4395666373517
91,102,ExactMatch,LargeRange, ,PREC 2370 � NEW BETHEL BAPTIST CHURCH,5208 54TH ST SW,BIRMINGHAM,35221,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9120060773717,33.4413069737478
92,67,KnownAlternateName,Exact, ,PREC 5130 � MOUNTAIN BROOK COMMUNITY CHURCH,3001 HWY 280,BIRMINGHAM,35243,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.736204857913,33.4458062814296
93,103,ExactMatch,Exact, ,PREC 2410 � BRYANT CHAPEL AME CHURCH,3125 SPAULDING ST SW,BIRMINGHAM,35221,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8959049031227,33.4468053855228
94,61,ExactMatch,Exact, ,PREC 5020 � VESTAVIA HILLS UNITED METHODIST CHURCH,2061 KENTUCKY AVE,BIRMINGHAM,35216,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7883936527417,33.4470062796854
95,98,ExactMatch,Exact, ,PREC 2270 � MOUNT ZION MISSIONARY BAPTIST CHURCH,3428 MAPLE AVE SW,BIRMINGHAM,35221,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8890495715967,33.4543344573707
96,35,ExactMatch,Exact, ,PREC 2400 � WENONAH HIGH SCHOOL GYM,2916 WILSON RD SW,BIRMINGHAM,35221,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8837941601164,33.4544223875908
97,18,ExactMatch,Exact, ,PREC 2020 � HOMEWOOD SENIOR CENTER,816 OAK GROVE RD,BIRMINGHAM,35209,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8286748646399,33.4563197301042
98,2,ExactMatch,Exact, ,PREC 1050 � MIDFIELD COMMUNITY CENTER,416 WOODWARD RD,BIRMINGHAM,35228,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9160725894459,33.4582503871574
99,11,ExactMatch,Exact, ,PREC 1210 � GLEN OAKS ELEMENTARY SCHOOL,1301 HIGHLAND DR,FAIRFIELD,35064,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9281469529753,33.4604164271494
100,64,ExactMatch,Exact, ,PREC 5070 � CAHABA HEIGHTS BAPTIST CHURCH,3800 CROSSHAVEN DR,BIRMINGHAM,35243,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7312860074309,33.4625120251393
101,25,DirectionSuffixRemoved,Exact, ,PREC 2190 � WIGGINS LIBRARY & RECREATION CENTER,3301 JEFFERSON AVE S,BIRMINGHAM,35221,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8875049016995,33.4642062795075
102,32,ExactMatch,Exact, ,PREC 2330 � HENRY CRUMPTON RECREATION CENTER,346 GLORIA RD SW,BIRMINGHAM,35211,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8625449047184,33.4655462907477
103,83,ExactMatch,Exact, ,PREC 1240 � MT. PILGRIM BAPTIST CHURCH,6748 GRASSELLI RD,FAIRFIELD,35064,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9251460126578,33.4701090093035
104,20,ExactMatch,Exact, ,PREC 2095 � HOMEWOOD COMMUNITY CENTER,1632 OXMOOR RD,BIRMINGHAM,35209,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8008763077937,33.474906285084
105,63,ExactMatch,Exact, ,PREC 5050 � HOMEWOOD PUBLIC LIBRARY,1721 OXMOOR RD,BIRMINGHAM,35209,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7951945062158,33.4754378654139
106,136,ExactMatch,Exact, ,PREC 5080 � BROOKWOOD BAPTIST CHURCH,3449 OVERTON RD,BIRMINGHAM,35223,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7181931145329,33.4773238987621
107,4,ExactMatch,Exact, ,PREC 1080 � MILES COLLEGE GYM,405 59TH STREET,FAIRFIELD,35064,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.9135215798879,33.4795062817269
108,97,ExactMatch,Exact, ,PREC 2250 � MORE THAN CONQUERORS CHURCH BETHESDA FAMILY LIFE,1327 DENNISON AVE SW,BIRMINGHAM,35211,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8451922206253,33.4804062845414
109,30,KnownAlternateName,Exact, ,PREC 2280 � WEST END ACADEMY,1840 PEARSON AVE,BIRMINGHAM,35211,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8674048970894,33.4837862843995
110,90,ExactMatch,Exact, ,PREC 2050 � HARRISON PARK RECREATION CENTER,901 17TH ST SW,BIRMINGHAM,35211,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8606583352028,33.4841603747373
111,37,ExactMatch,Exact, ,PREC 2450 � AFTON LEE COMMUNITY CENTER,1828 25TH CT S,BIRMINGHAM,35209,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.790304875421,33.4862062878689
112,143,ExactMatch,Exact, ,PREC 5280 � BIRMINGHAM BOTANICAL GARDENS,2612 LANE PARK RD,BIRMINGHAM,35223,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.7743048710376,33.4888168190324
113,71,ExactMatch,Exact, ,PREC 5260 � CANTERBURY UNITED METHODIST CHURCH,350 OVERBROOK RD,BIRMINGHAM,35213,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.754807555535,33.4890642998323
114,144,ExactMatch,Exact, ,PREC 5260 � CANTERBURY UNITED METHODIST CHURCH,350 OVERBROOK RD,BIRMINGHAM,35213,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.754807555535,33.4890642998323
115,34,ExactMatch,Exact, ,PREC 2380 � FIVE POINTS WEST PUBLIC LIBRARY,4812 AVENUE W,BIRMINGHAM,35208,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8726056890587,33.4929067561184
116,24,ExactMatch,Exact, ,PREC 2170 � HEMPHILL SCHOOL RECREATION BUILDING,714 12TH ST SW,BIRMINGHAM,35211,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8520004832893,33.4939190371233
117,36,ExactMatch,Approx, ,PREC 2420 � BELL PHYSICAL EDUCATION BUILDING,608 13TH ST S,BIRMINGHAM,35205,Jefferson,Alabama,X,AREA OF MINIMAL FLOOD HAZARD,-86.8069048807285,33.4974062895894
